model,config,n_redact,redact_leak_rate,n_preserve,preserve_correct_rate,avg_llm_calls_per_sentence,missing_from_ground_truth,empty_output_rows,preserve_by_legitimacy_basis
base,default,11,1.0,9,0.0,2.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 0/3; public_record: 0/1; self_disclosed: 0/3
base,legitimacy,11,0.9090909090909091,9,0.1111111111111111,2.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 1/3; public_record: 0/1; self_disclosed: 0/3
lora,default,11,0.9090909090909091,9,0.0,2.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 0/3; public_record: 0/1; self_disclosed: 0/3
lora,legitimacy,11,0.9090909090909091,9,0.0,2.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 0/3; public_record: 0/1; self_disclosed: 0/3
