model,config,n_rows,missing_from_ground_truth,tp,fp,fn,tn,precision,recall,f1,n_positive_evaluated_for_leak,leak_rate,avg_llm_calls_per_sentence
deepseek-r1:8b,single_pass_no_schema,150,0,55,81,0,14,0.40441176470588236,1.0,0.5759162303664922,55,0.5454545454545454,1.0
llama3.2,single_pass_no_schema,145,0,22,26,32,65,0.4583333333333333,0.4074074074074074,0.4313725490196078,54,0.8333333333333334,1.0
mistral,single_pass_no_schema,150,0,27,36,28,59,0.42857142857142855,0.4909090909090909,0.4576271186440678,55,0.8181818181818182,1.0
qwen2.5:7b,single_pass_no_schema,150,0,41,47,14,48,0.4659090909090909,0.7454545454545455,0.5734265734265734,55,0.7272727272727273,1.0
