model,config,n_redact,redact_leak_rate,n_preserve,preserve_correct_rate,avg_llm_calls_per_sentence,missing_from_ground_truth,empty_output_rows,preserve_by_legitimacy_basis
deepseek-r1:8b,single_pass,11,1.0,9,0.1111111111111111,1.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 0/3; public_record: 0/1; self_disclosed: 1/3
llama3.2,single_pass,11,1.0,9,0.2222222222222222,1.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 2/3; public_record: 0/1; self_disclosed: 0/3
mistral,single_pass,11,1.0,8,0.0,1.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 0/3; public_record: 0/1; self_disclosed: 0/2
qwen2.5:7b,single_pass,11,0.7272727272727273,9,0.1111111111111111,1.0,0,0,constitutive: 0/1; office_relevant: 0/1; press_freedom: 1/3; public_record: 0/1; self_disclosed: 0/3
